BUMIToBrokerCode	BUMI	Start	2026-02-18	End	2026-02-18	Mode	Value
Investor	All	Board	All Trade
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
XL	16,333,479	475,344,574,000	291.02	1	MG	27,964,859	816,148,770,400	291.85
MG	12,758,282	373,273,775,200	292.57	2	AK	12,175,231	355,207,859,160	291.75
YP	9,415,062	274,225,609,200	291.26	3	YU	11,279,439	329,697,943,976	292.30
CC	7,294,061	211,848,120,800	290.44	4	XL	8,688,791	252,250,713,800	290.32
XC	6,239,941	181,665,688,200	291.13	5	CC	6,060,978	175,569,080,000	289.67
YU	5,811,420	168,865,404,176	290.58	6	SS	4,081,160	116,137,408,000	284.57
PD	5,471,713	159,361,978,014	291.25	7	CP	3,844,534	111,876,055,400	291.00
AZ	4,548,368	132,707,835,200	291.77	8	YP	3,451,460	100,434,291,400	290.99
CP	4,068,108	118,182,000,400	290.51	9	XC	3,076,388	89,428,232,800	290.69
SQ	3,877,395	110,606,147,400	285.26	10	PD	2,120,193	61,519,964,814	290.16
LG	3,050,298	88,949,325,800	291.61	11	LG	2,073,259	60,197,140,000	290.35
ZP	2,191,364	63,852,349,000	291.38	12	BK	1,674,353	48,348,908,000	288.76
AK	2,156,431	62,979,288,960	292.05	13	RF	1,354,600	39,593,656,200	292.29
XA	2,128,063	61,980,094,400	291.25	14	SQ	1,354,223	39,282,816,400	290.08
KK	1,909,891	55,597,436,800	291.10	15	YB	1,235,386	35,867,673,800	290.34
YB	1,857,903	53,943,320,600	290.35	16	AZ	1,186,999	34,404,508,600	289.84
AI	1,644,225	47,521,503,400	289.02	17	KK	1,162,525	33,744,529,200	290.27
NI	1,563,396	45,410,675,200	290.46	18	RB	1,139,369	33,231,175,800	291.66
GR	1,457,249	42,226,252,000	289.77	19	ZP	1,072,107	31,284,332,400	291.80
OD	1,357,794	39,426,507,800	290.37	20	HD	979,262	28,534,815,800	291.39
BQ	1,260,354	36,626,050,000	290.60	21	XA	964,624	28,145,270,000	291.77
AO	1,167,475	34,141,721,600	292.44	22	AO	954,279	27,723,118,800	290.51
EP	993,783	28,937,876,200	291.19	23	BQ	832,799	24,295,474,600	291.73
HD	962,266	27,947,526,600	290.43	24	NI	813,532	23,607,057,600	290.18
DR	801,400	23,305,853,600	290.81	25	EP	703,910	20,461,886,400	290.69
YJ	721,488	21,011,979,000	291.23	26	OD	667,247	19,421,515,800	291.07
HP	663,982	19,315,206,600	290.90	27	YJ	428,336	12,357,535,000	288.50
DH	372,276	10,824,995,600	290.78	28	DR	411,388	11,943,319,600	290.32
TP	342,757	9,927,791,000	289.65	29	IF	378,713	11,052,091,400	291.83
IF	317,682	9,244,469,600	291.00	30	DX	362,724	10,474,028,200	288.76
AG	316,013	9,218,876,200	291.72	31	MI	350,000	10,228,000,000	292.23
KI	270,390	7,833,412,600	289.71	32	TP	331,435	9,628,586,600	290.51
BR	211,217	6,217,744,800	294.38	33	FS	319,200	9,144,680,000	286.49
IU	201,927	5,852,296,000	289.82	34	GR	240,717	7,014,482,800	291.40
AT	195,084	5,688,204,400	291.58	35	IN	209,524	6,033,927,200	287.98
LS	180,007	5,218,596,800	289.91	36	AI	191,072	5,582,354,200	292.16
ES	127,825	3,733,477,000	292.08	37	DH	164,952	4,806,609,200	291.39
PF	102,050	2,938,280,000	287.93	38	KI	151,043	4,348,376,200	287.89
FZ	92,285	2,660,394,600	288.28	39	AG	146,140	4,262,551,800	291.68
CD	78,718	2,282,938,400	290.01	40	FZ	118,919	3,432,692,600	288.66
DX	64,736	1,877,521,400	290.03	41	HP	116,558	3,363,416,400	288.56
BK	63,299	1,827,617,000	288.73	42	ES	113,350	3,265,870,000	288.12
RO	61,166	1,768,459,400	289.12	43	LS	81,039	2,367,743,600	292.17
BB	60,000	1,762,000,000	293.67	44	AT	80,484	2,353,182,400	292.38
RF	55,043	1,598,621,200	290.43	45	SH	47,238	1,386,359,600	293.48
SH	53,756	1,539,674,800	286.42	46	IU	43,150	1,272,610,000	294.93
PG	49,260	1,425,188,000	289.32	47	CD	34,209	996,249,400	291.22
BS	48,290	1,408,416,000	291.66	48	BR	31,862	917,304,800	287.90
FS	42,220	1,216,066,000	288.03	49	BB	31,302	899,806,000	287.46
RS	40,636	1,169,989,600	287.92	50	RG	30,106	881,128,000	292.68
EL	35,300	1,015,820,000	287.77	51	EL	15,000	441,000,000	294.00
AR	34,550	1,015,470,000	293.91	52	QA	14,996	438,237,600	292.24
PC	33,832	981,824,600	290.21	53	DU	13,511	387,805,800	287.03
RG	29,964	864,380,600	288.47	54	SA	11,034	322,606,400	292.37
AF	29,100	848,820,000	291.69	55	OK	5,000	142,000,000	284.00
IN	27,901	811,655,400	290.91	56	AF	3,150	90,250,000	286.51
RX	25,525	749,835,000	293.76	57	RS	3,000	88,200,000	294.00
MU	23,115	669,461,800	289.62	58	ZR	2,908	84,151,200	289.38
OK	18,000	518,600,000	288.11	59	MU	2,277	66,270,600	291.04
GA	16,000	467,800,000	292.38	60	RO	2,003	58,326,800	291.20
SF	14,778	431,187,600	291.78	61	IH	1,761	50,384,600	286.11
DU	14,569	422,279,400	289.85	62	JB	1,100	32,220,000	292.91
PI	7,000	203,000,000	290.00	63	ID	1,000	29,400,000	294.00
RB	6,076	173,865,600	286.15	64	IT	500	14,400,000	288.00
QA	5,785	168,027,400	290.45	65	PC	431	12,785,400	296.65
BF	5,000	148,000,000	296.00	66	AN	238	6,862,000	288.32
ZR	4,945	144,027,000	291.26	67	DD	200	5,800,000	290.00
IH	4,017	115,785,600	288.24	68	FO	100	2,940,000	294.00
IT	3,635	105,415,000	290.00	69	AR	100	2,900,000	290.00
AN	2,880	84,654,000	293.94	70	PG	60	1,754,000	292.33
SA	2,734	79,279,600	289.98	71	AD	50	1,440,000	288.00
MI	2,710	79,252,000	292.44	72	GI	48	1,421,800	296.21
SS	1,750	50,130,000	286.46	73	SF	14	399,000	285.00
ID	940	27,082,000	288.11	74	TF	9	262,800	292.00
JB	758	22,149,200	292.21	75	 	 	 	 
FO	400	11,500,000	287.50	76	 	 	 	 
TF	265	7,535,000	284.34	77	 	 	 	 
GI	51	1,494,800	293.10	78	 	 	 	 
II	50	1,460,000	292.00	79	 	 	 	 
