CUANToBrokerCode	CUAN	Start	2026-01-06	End	2026-01-06	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
XL	87,113	19,147,914,000	2198.05	1	XL	98,117	21,565,657,000	2197.95
CC	65,125	14,290,636,000	2194.34	2	YP	85,807	18,852,611,000	2197.09
AK	40,862	9,000,311,000	2202.61	3	CC	77,853	17,111,282,000	2197.90
XC	40,536	8,896,091,000	2194.61	4	AK	40,895	9,003,758,000	2201.68
YP	39,588	8,700,438,000	2197.75	5	HP	34,786	7,655,602,000	2200.77
ZP	30,535	6,732,629,000	2204.89	6	XC	27,218	5,985,616,000	2199.14
PD	27,966	6,140,903,000	2195.85	7	MG	21,594	4,758,107,000	2203.44
RX	25,208	5,543,888,000	2199.26	8	AZ	20,584	4,498,223,000	2185.30
LG	22,012	4,861,756,000	2208.68	9	PD	20,146	4,433,196,000	2200.53
AZ	16,276	3,570,778,000	2193.89	10	BK	18,729	4,117,501,000	2198.46
OD	15,877	3,474,482,000	2188.37	11	CP	17,967	3,951,953,000	2199.56
NI	14,550	3,200,255,000	2199.49	12	LG	14,987	3,281,704,000	2189.70
SQ	13,774	3,024,472,000	2195.78	13	SQ	10,762	2,367,750,000	2200.10
KK	13,715	3,014,821,000	2198.19	14	EP	8,997	1,974,209,000	2194.30
YJ	13,115	2,885,595,000	2200.22	15	ZP	8,844	1,941,538,000	2195.32
CP	13,146	2,883,626,000	2193.54	16	TP	8,616	1,890,194,000	2193.82
KZ	10,649	2,346,506,000	2203.50	17	YU	8,564	1,882,657,000	2198.34
EP	10,613	2,334,494,000	2199.66	18	IF	8,387	1,838,919,000	2192.58
GR	10,251	2,262,971,000	2207.56	19	YB	7,499	1,651,219,000	2201.92
HP	8,288	1,819,915,000	2195.84	20	NI	7,365	1,620,420,000	2200.16
XA	7,076	1,554,985,000	2197.55	21	BQ	6,511	1,430,428,000	2196.94
PO	6,030	1,323,550,000	2194.94	22	KK	4,826	1,064,220,000	2205.18
BK	5,806	1,278,527,000	2202.08	23	OD	4,466	982,539,000	2200.04
CD	5,310	1,170,991,000	2205.26	24	CD	2,495	550,235,000	2205.35
MG	4,999	1,096,226,000	2192.89	25	HD	2,370	521,710,000	2201.31
DR	4,281	939,734,000	2195.13	26	AI	2,096	461,488,000	2201.76
TP	3,614	793,171,000	2194.72	27	XA	1,891	418,635,000	2213.83
YU	3,542	779,380,000	2200.40	28	GR	1,107	244,637,000	2209.91
DH	2,860	628,176,000	2196.42	29	MU	1,000	220,000,000	2200.00
YB	1,916	420,395,000	2194.13	30	BB	900	198,000,000	2200.00
BQ	1,426	313,742,000	2200.15	31	DR	788	173,169,000	2197.58
LS	1,425	311,375,000	2185.09	32	YJ	778	170,814,000	2195.55
KI	1,424	310,879,000	2183.14	33	RX	760	166,440,000	2190.00
PC	1,394	305,965,000	2194.87	34	LS	694	153,350,000	2209.65
PG	1,180	258,500,000	2190.68	35	DH	639	140,467,000	2198.23
AO	1,111	243,737,000	2193.85	36	AN	500	110,000,000	2200.00
HD	1,030	226,050,000	2194.66	37	BR	400	88,200,000	2205.00
AG	798	174,827,000	2190.81	38	PC	327	71,940,000	2200.00
AI	709	156,775,000	2211.21	39	FS	200	44,200,000	2210.00
RF	654	143,680,000	2196.94	40	IU	150	33,250,000	2216.67
SH	530	116,645,000	2200.85	41	AT	115	25,369,000	2206.00
BR	512	112,730,000	2201.76	42	MI	114	25,080,000	2200.00
PF	507	111,028,000	2189.90	43	AG	100	21,900,000	2190.00
FS	500	111,000,000	2220.00	44	DX	96	21,107,000	2198.65
GA	500	110,000,000	2200.00	45	KI	84	18,471,000	2198.93
AN	502	109,938,000	2190.00	46	JB	40	8,680,000	2170.00
DX	453	99,748,000	2201.94	47	SF	37	8,140,000	2200.00
AT	333	73,346,000	2202.58	48	SH	33	7,290,000	2209.09
AR	330	72,600,000	2200.00	49	AO	28	6,177,000	2206.07
IF	257	56,573,000	2201.28	50	IH	23	5,060,000	2200.00
BS	250	55,000,000	2200.00	51	PF	10	2,204,000	2204.00
MU	175	38,550,000	2202.86	52	IN	7	1,568,000	2240.00
ES	155	33,794,000	2180.26	53	QA	3	654,000	2180.00
RO	150	32,870,000	2191.33	54	 	 	 	 
IU	150	32,850,000	2190.00	55	 	 	 	 
SA	100	22,000,000	2200.00	56	 	 	 	 
RG	58	12,744,000	2197.24	57	 	 	 	 
FZ	50	11,000,000	2200.00	58	 	 	 	 
RS	5	1,100,000	2200.00	59	 	 	 	 
IH	4	876,000	2190.00	60	 	 	 	 
