CUANToBrokerCode	CUAN	Start	2025-11-17	End	2025-11-17	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
XL	191,567	42,688,459,000	2228.38	1	XL	208,352	46,339,338,000	2224.09
YP	100,901	22,455,268,000	2225.48	2	XC	87,253	19,391,791,000	2222.48
CC	89,512	19,832,783,000	2215.66	3	YP	79,269	17,651,828,000	2226.83
AK	69,035	15,343,012,000	2222.50	4	CC	76,616	17,042,295,000	2224.38
MG	63,390	14,153,835,000	2232.82	5	PD	55,350	12,305,584,000	2223.23
CP	55,676	12,395,822,000	2226.42	6	AK	45,964	10,168,666,000	2212.31
XC	50,207	11,121,767,000	2215.18	7	CP	38,452	8,582,444,000	2231.99
PD	47,411	10,510,504,000	2216.89	8	MG	33,804	7,598,357,000	2247.77
YB	22,278	4,976,977,000	2234.03	9	GR	28,189	6,227,178,000	2209.08
KK	16,666	3,705,319,000	2223.28	10	ZP	24,646	5,475,412,000	2221.62
GR	16,536	3,680,373,000	2225.67	11	AZ	19,600	4,355,897,000	2222.40
BQ	14,781	3,294,905,000	2229.15	12	SQ	18,866	4,206,001,000	2229.41
EP	14,491	3,224,984,000	2225.51	13	KK	16,783	3,727,749,000	2221.15
DH	14,088	3,158,939,000	2242.29	14	EP	16,174	3,575,409,000	2210.59
LG	13,460	2,954,323,000	2194.89	15	YJ	15,569	3,446,189,000	2213.49
XA	13,453	2,941,406,000	2186.43	16	YB	12,158	2,690,243,000	2212.73
SQ	10,063	2,226,565,000	2212.63	17	HP	11,939	2,646,798,000	2216.93
ZP	9,862	2,196,074,000	2226.80	18	LG	11,159	2,454,506,000	2199.58
YU	9,459	2,105,999,000	2226.45	19	GA	11,000	2,449,004,000	2226.37
AZ	8,938	1,977,872,000	2212.88	20	BK	9,703	2,134,660,000	2200.00
AO	7,690	1,709,530,000	2223.06	21	CD	9,183	2,035,506,000	2216.60
NI	7,597	1,689,968,000	2224.52	22	NI	9,008	2,005,256,000	2226.08
YJ	6,336	1,401,031,000	2211.22	23	BQ	8,737	1,943,149,000	2224.05
AT	5,332	1,187,522,000	2227.16	24	OD	7,227	1,610,826,000	2228.90
RF	4,860	1,084,035,000	2230.52	25	YU	6,934	1,519,959,000	2192.04
BR	4,205	926,500,000	2203.33	26	DR	5,096	1,133,810,000	2224.90
DR	3,610	797,992,000	2210.50	27	TP	4,373	978,822,000	2238.33
CD	3,087	686,138,000	2222.67	28	KI	4,148	921,100,000	2220.59
IF	2,864	633,380,000	2211.52	29	RF	4,010	888,010,000	2214.49
OD	2,756	606,754,000	2201.57	30	AO	3,595	794,720,000	2210.63
HD	2,558	557,668,000	2180.09	31	DH	3,559	794,032,000	2231.05
TP	2,495	550,765,000	2207.47	32	HD	3,038	677,012,000	2228.48
HP	2,509	548,665,000	2186.79	33	XA	2,587	574,289,000	2219.90
IU	2,200	486,325,000	2210.57	34	AT	2,139	475,649,000	2223.70
KI	2,092	467,954,000	2236.87	35	LS	1,963	437,728,000	2229.89
BK	1,991	441,198,000	2215.96	36	IF	1,754	388,577,000	2215.38
RX	1,738	382,360,000	2200.00	37	AI	1,021	225,675,000	2210.33
LS	1,610	356,620,000	2215.03	38	SH	1,000	224,000,000	2240.00
AI	1,528	341,962,000	2237.97	39	TS	1,000	222,000,000	2220.00
SH	1,100	246,300,000	2239.09	40	AG	734	163,977,000	2234.02
DX	921	204,162,000	2216.74	41	IU	665	149,320,000	2245.41
AG	879	194,898,000	2217.27	42	MI	500	113,500,000	2270.00
SS	600	132,100,000	2201.67	43	BR	360	80,640,000	2240.00
FZ	525	115,750,000	2204.76	44	RG	228	50,620,000	2220.18
AF	500	110,000,000	2200.00	45	RO	212	47,002,000	2217.08
RG	345	74,769,000	2167.22	46	DX	159	35,778,000	2250.19
SA	300	66,000,000	2200.00	47	FZ	110	24,640,000	2240.00
MU	200	44,000,000	2200.00	48	ZR	100	22,400,000	2240.00
PG	100	22,250,000	2225.00	49	SA	100	21,900,000	2190.00
ZR	100	22,000,000	2200.00	50	AP	92	20,240,000	2200.00
AR	100	21,900,000	2190.00	51	MU	51	11,475,000	2250.00
BS	100	21,900,000	2190.00	52	ID	40	8,980,000	2245.00
PF	52	11,362,000	2185.00	53	GI	33	7,288,000	2208.48
PC	25	5,525,000	2210.00	54	PF	26	5,824,000	2240.00
ID	10	2,200,000	2200.00	55	PC	25	5,600,000	2240.00
IN	2	448,000	2240.00	56	AF	25	5,575,000	2230.00
AN	2	432,000	2160.00	57	PO	10	2,220,000	2220.00
 	 	 	 	58	SF	2	440,000	2200.00
 	 	 	 	59	AN	2	440,000	2200.00
 	 	 	 	60	PG	1	221,000	2210.00
